Post_ID,Platform,Hashtag,Content_Type,Region,Engagement_Level
Post_1,TikTok,#Challenge,Video,UK,High
Post_2,Instagram,#Education,Shorts,India,Medium
Post_3,Twitter,#Challenge,Video,Brazil,Medium
Post_4,YouTube,#Education,Shorts,Australia,Low
Post_5,TikTok,#Dance,Post,Brazil,Medium
Post_6,Instagram,#Challenge,Shorts,Australia,Low
Post_7,YouTube,#Comedy,Tweet,Japan,Medium
Post_8,YouTube,#Gaming,Shorts,UK,High
Post_9,Twitter,#Education,Live Stream,India,Medium
Post_10,TikTok,#Gaming,Shorts,India,Low
Post_11,Instagram,#Comedy,Live Stream,Germany,High
Post_12,Twitter,#Music,Reel,Australia,Medium
Post_13,YouTube,#Viral,Shorts,Canada,High
Post_14,YouTube,#Fitness,Reel,Japan,High
Post_15,Twitter,#Comedy,Post,Germany,High
Post_16,YouTube,#Gaming,Live Stream,Canada,Medium
Post_17,Twitter,#Dance,Reel,UK,Low
Post_18,TikTok,#Tech,Shorts,UK,Medium
Post_19,TikTok,#Fashion,Post,USA,Low
Post_20,YouTube,#Education,Tweet,UK,Low
Post_21,Twitter,#Gaming,Video,Brazil,Low
Post_22,TikTok,#Viral,Live Stream,USA,Medium
Post_23,YouTube,#Dance,Shorts,Brazil,Low
Post_24,Twitter,#Education,Shorts,Japan,High
Post_25,YouTube,#Dance,Tweet,Germany,High
Post_26,YouTube,#Dance,Live Stream,Brazil,Low
Post_27,Instagram,#Gaming,Video,India,Low
Post_28,YouTube,#Tech,Post,Canada,Medium
Post_29,Instagram,#Gaming,Live Stream,Canada,Low
Post_30,YouTube,#Education,Shorts,Japan,Medium
Post_31,Instagram,#Comedy,Reel,Australia,Low
Post_32,Twitter,#Music,Video,USA,Medium
Post_33,YouTube,#Gaming,Live Stream,USA,Low
Post_34,YouTube,#Viral,Reel,Australia,Low
Post_35,YouTube,#Education,Tweet,UK,Low
Post_36,TikTok,#Education,Live Stream,Japan,High
Post_37,Instagram,#Music,Reel,Germany,Low
Post_38,Instagram,#Dance,Video,India,Medium
Post_39,TikTok,#Gaming,Shorts,USA,High
Post_40,Twitter,#Comedy,Post,USA,Low
Post_41,Twitter,#Education,Reel,India,High
Post_42,YouTube,#Fashion,Live Stream,Australia,High
Post_43,Twitter,#Comedy,Post,Brazil,Medium
Post_44,YouTube,#Comedy,Shorts,Brazil,Medium
Post_45,Twitter,#Comedy,Shorts,Germany,Low
Post_46,Instagram,#Gaming,Tweet,Brazil,High
Post_47,Instagram,#Tech,Reel,Japan,Medium
Post_48,Instagram,#Dance,Live Stream,India,Medium
Post_49,Twitter,#Gaming,Live Stream,USA,High
Post_50,Instagram,#Fashion,Reel,Japan,Low
Post_51,YouTube,#Dance,Post,Australia,Medium
Post_52,YouTube,#Music,Live Stream,Canada,Medium
Post_53,YouTube,#Comedy,Tweet,Japan,Low
Post_54,Twitter,#Fitness,Reel,Canada,Medium
Post_55,Twitter,#Dance,Reel,USA,High
Post_56,YouTube,#Fitness,Tweet,Australia,Medium
Post_57,Instagram,#Challenge,Live Stream,Australia,Low
Post_58,Twitter,#Dance,Video,Australia,Medium
Post_59,YouTube,#Challenge,Post,Germany,High
Post_60,Twitter,#Music,Live Stream,UK,Low
Post_61,TikTok,#Music,Reel,USA,Low
Post_62,YouTube,#Tech,Video,Australia,Medium
Post_63,TikTok,#Dance,Tweet,India,Low
Post_64,Instagram,#Gaming,Shorts,Canada,High
Post_65,YouTube,#Fashion,Shorts,Canada,Low
Post_66,TikTok,#Education,Post,Japan,High
Post_67,YouTube,#Viral,Video,Brazil,High
Post_68,Twitter,#Dance,Reel,Japan,High
Post_69,Twitter,#Fitness,Tweet,USA,High
